n,j,u[n][j],exact,error
45,2,0.610544,0.609989,0.090846
45,3,0.571994,0.571474,0.090846
45,4,0.519360,0.518888,0.090846
45,5,0.453937,0.453525,0.090846
45,6,0.377337,0.376994,0.090846
45,7,0.291445,0.291181,0.090846
45,8,0.198378,0.198198,0.090846
45,9,0.100425,0.100334,0.090846
45,10,0.000000,0.000000,1.#INF00
46,0,0.635672,0.635082,0.092864
46,1,0.627846,0.627263,0.092864
46,2,0.604560,0.603998,0.092864
46,3,0.566388,0.565862,0.092864
46,4,0.514269,0.513792,0.092864
46,5,0.449488,0.449070,0.092864
46,6,0.373639,0.373292,0.092864
46,7,0.288589,0.288321,0.092864
46,8,0.196433,0.196251,0.092864
46,9,0.099441,0.099349,0.092864
46,10,0.000000,0.000000,1.#INF00
47,0,0.629442,0.628844,0.094882
47,1,0.621692,0.621102,0.094882
47,2,0.598635,0.598067,0.094882
47,3,0.560837,0.560304,0.094882
47,4,0.509229,0.508746,0.094882
47,5,0.445082,0.444660,0.094882
47,6,0.369977,0.369625,0.094882
47,7,0.285761,0.285489,0.094882
47,8,0.194508,0.194324,0.094882
47,9,0.098466,0.098373,0.094882
47,10,0.000000,0.000000,1.#INF00
48,0,0.623272,0.622668,0.096900
48,1,0.615599,0.615002,0.096900
48,2,0.592767,0.592193,0.096900
48,3,0.555340,0.554802,0.096900
48,4,0.504238,0.503749,0.096900
48,5,0.440720,0.440293,0.096900
48,6,0.366350,0.365995,0.096900
48,7,0.282960,0.282686,0.096900
48,8,0.192602,0.192415,0.096900
48,9,0.097501,0.097407,0.096900
48,10,0.000000,0.000000,1.#INF00
49,0,0.617164,0.616553,0.098918
49,1,0.609565,0.608962,0.098918
49,2,0.586958,0.586377,0.098918
49,3,0.549897,0.549353,0.098918
49,4,0.499296,0.498802,0.098918
49,5,0.436401,0.435969,0.098918
49,6,0.362760,0.362401,0.098918
49,7,0.280186,0.279909,0.098918
49,8,0.190714,0.190525,0.098918
49,9,0.096546,0.096450,0.098918
49,10,0.000000,0.000000,1.#INF00
50,0,0.611115,0.610498,0.100935
50,1,0.603591,0.602982,0.100935
50,2,0.581205,0.580618,0.100935
50,3,0.544507,0.543958,0.100935
50,4,0.494402,0.493903,0.100935
50,5,0.432123,0.431687,0.100935
50,6,0.359204,0.358842,0.100935
50,7,0.277440,0.277160,0.100935
50,8,0.188845,0.188654,0.100935
50,9,0.095599,0.095503,0.100935
50,10,0.000000,0.000000,1.#INF00
51,0,0.605125,0.604502,0.102953
51,1,0.597675,0.597060,0.102953
51,2,0.575508,0.574916,0.102953
51,3,0.539171,0.538615,0.102953
51,4,0.489557,0.489053,0.102953
51,5,0.427888,0.427448,0.102953
51,6,0.355684,0.355318,0.102953
51,7,0.274721,0.274438,0.102953
51,8,0.186994,0.186801,0.102953
51,9,0.094662,0.094565,0.102953
51,10,0.000000,0.000000,1.#INF00
52,0,0.599194,0.598565,0.104971
52,1,0.591817,0.591196,0.104971
52,2,0.569868,0.569270,0.104971
52,3,0.533886,0.533326,0.104971
52,4,0.484758,0.484250,0.104971
52,5,0.423694,0.423250,0.104971
52,6,0.352198,0.351828,0.104971
52,7,0.272029,0.271743,0.104971
52,8,0.185161,0.184967,0.104971
52,9,0.093735,0.093636,0.104971
52,10,0.000000,0.000000,1.#INF00
53,0,0.593322,0.592687,0.106988
53,1,0.586017,0.585390,0.106988
53,2,0.564282,0.563679,0.106988
53,3,0.528653,0.528088,0.106988
53,4,0.480007,0.479494,0.106988
53,5,0.419542,0.419093,0.106988
53,6,0.348746,0.348373,0.106988
53,7,0.269362,0.269074,0.106988
53,8,0.183346,0.183150,0.106988
53,9,0.092816,0.092717,0.106988
53,10,0.000000,0.000000,1.#INF00
54,0,0.587506,0.586866,0.109006
54,1,0.580273,0.579641,0.109006
54,2,0.558752,0.558143,0.109006
54,3,0.523472,0.522902,0.109006
54,4,0.475303,0.474785,0.109006
54,5,0.415430,0.414977,0.109006
54,6,0.345328,0.344951,0.109006
54,7,0.266722,0.266432,0.109006
54,8,0.181549,0.181352,0.109006
54,9,0.091906,0.091806,0.109006
54,10,0.000000,0.000000,1.#INF00
55,0,0.581748,0.581102,0.111023
55,1,0.574586,0.573948,0.111023
55,2,0.553276,0.552661,0.111023
55,3,0.518342,0.517766,0.111023
55,4,0.470644,0.470122,0.111023
55,5,0.411358,0.410901,0.111023
55,6,0.341943,0.341563,0.111023
55,7,0.264108,0.263815,0.111023
55,8,0.179770,0.179571,0.111023
55,9,0.091005,0.090904,0.111023
55,10,0.000000,0.000000,1.#INF00
56,0,0.576047,0.575395,0.113041
56,1,0.568954,0.568311,0.113041
56,2,0.547853,0.547234,0.113041
56,3,0.513261,0.512681,0.113041
56,4,0.466031,0.465505,0.113041
56,5,0.407326,0.406866,0.113041
56,6,0.338592,0.338209,0.113041
56,7,0.261520,0.261224,0.113041
56,8,0.178008,0.177807,0.113041
56,9,0.090114,0.090012,0.113041
56,10,0.000000,0.000000,1.#INF00
57,0,0.570401,0.569744,0.115058
57,1,0.563378,0.562730,0.115058
57,2,0.542483,0.541859,0.115058
57,3,0.508231,0.507646,0.115058
57,4,0.461464,0.460933,0.115058
57,5,0.403334,0.402870,0.115058
57,6,0.335273,0.334887,0.115058
57,7,0.258956,0.258659,0.115058
57,8,0.176264,0.176061,0.115058
57,9,0.089230,0.089128,0.115058
57,10,0.000000,0.000000,1.#INF00
58,0,0.564810,0.564149,0.117075
58,1,0.557856,0.557203,0.117075
58,2,0.537166,0.536537,0.117075
58,3,0.503250,0.502660,0.117075
58,4,0.456941,0.456406,0.117075
58,5,0.399381,0.398914,0.117075
58,6,0.331987,0.331598,0.117075
58,7,0.256418,0.256118,0.117075
58,8,0.174536,0.174332,0.117075
58,9,0.088356,0.088252,0.117075
58,10,0.000000,0.000000,1.#INF00
59,0,0.559274,0.558608,0.119093
